"","age","rate","value"
"1","40_to_44",413.2,7786
"2","45_to_49",537.8,9218
"3","0_to_4",21.3,342
"4","30_to_34",444.4,8302
"5","90+",2841.3,9974
"6","85_to_89",1688.3,8930
"7","25_to_29",516.5,8755
"8","75_to_79",531.9,5532
"9","60_to_64",402.8,6383
"10","10_to_14",25.8,445
"11","35_to_39",386.6,7374
"12","65_to_69",259.9,3753
"13","15_to_19",90.4,1478
"14","55_to_59",468,9269
"15","50_to_54",546.4,10254
"16","5_to_9",18.9,352
"17","70_to_74",294.9,4274
"18","20_to_24",365.5,5492
"19","80_to_84",944.5,7598
