"","age","value","rate"
"1","20_to_24",6699,445.9
"2","60_to_64",7151,451.3
"3","80_to_84",8562,1064.3
"4","70_to_74",4785,330.2
"5","35_to_39",8514,446.4
"6","5_to_9",566,30.4
"7","10_to_14",679,39.3
"8","90+",11329,3227.3
"9","25_to_29",10221,603
"10","75_to_79",6149,591.3
"11","0_to_4",463,28.8
"12","15_to_19",1990,121.7
"13","50_to_54",11520,613.9
"14","40_to_44",8925,473.6
"15","30_to_34",9700,519.2
"16","85_to_89",10058,1901.6
"17","55_to_59",10426,526.4
"18","65_to_69",4219,292.2
"19","45_to_49",10440,609.1
