"","age","value","rate"
"1","0_to_4",3530,208.5
"2","5_to_9",3407,188.3
"3","25_to_29",18407,1026.8
"4","10_to_14",5287,291.7
"5","60_to_64",12423,813.4
"6","20_to_24",22320,1405.8
"7","80_to_84",10376,1632.8
"8","65_to_69",9368,692.5
"9","85_to_89",8873,2529
"10","90+",6344,3816.3
"11","45_to_49",15479,910.4
"12","55_to_59",15603,809.7
"13","15_to_19",19305,1122.7
"14","30_to_34",17629,911.9
"15","50_to_54",16585,901.7
"16","75_to_79",9448,1049
"17","70_to_74",9387,705.7
"18","40_to_44",14311,773.9
"19","35_to_39",15747,828.5
