"","age","rate","value"
"1","70_to_74",1138.2,15140
"2","40_to_44",1571,29049
"3","25_to_29",2091.1,37488
"4","20_to_24",2842.3,45127
"5","30_to_34",1839.6,35562
"6","65_to_69",1216.2,16453
"7","10_to_14",709.1,12853
"8","5_to_9",416,7528
"9","80_to_84",2149.6,13660
"10","15_to_19",2150.7,36981
"11","90+",4638,7710
"12","35_to_39",1677.8,31888
"13","75_to_79",1510.4,13604
"14","50_to_54",1808.9,33271
"15","45_to_49",1810.4,30781
"16","55_to_59",1585.3,30547
"17","60_to_64",1547.2,23629
"18","0_to_4",452,7654
"19","85_to_89",3188.8,11188
