areaCode,areaName,areaType,date,newCasesBySpecimenDate
W92000004,Wales,nation,2021-08-09,1
W92000004,Wales,nation,2021-08-08,334
W92000004,Wales,nation,2021-08-07,524
W92000004,Wales,nation,2021-08-06,696
W92000004,Wales,nation,2021-08-05,783
W92000004,Wales,nation,2021-08-04,791
W92000004,Wales,nation,2021-08-03,735
W92000004,Wales,nation,2021-08-02,759
W92000004,Wales,nation,2021-08-01,523
W92000004,Wales,nation,2021-07-31,480
W92000004,Wales,nation,2021-07-30,586
W92000004,Wales,nation,2021-07-29,689
W92000004,Wales,nation,2021-07-28,688
W92000004,Wales,nation,2021-07-27,768
W92000004,Wales,nation,2021-07-26,754
W92000004,Wales,nation,2021-07-25,529
W92000004,Wales,nation,2021-07-24,582
W92000004,Wales,nation,2021-07-23,685
W92000004,Wales,nation,2021-07-22,823
W92000004,Wales,nation,2021-07-21,802
W92000004,Wales,nation,2021-07-20,821
W92000004,Wales,nation,2021-07-19,910
W92000004,Wales,nation,2021-07-18,619
W92000004,Wales,nation,2021-07-17,639
W92000004,Wales,nation,2021-07-16,954
W92000004,Wales,nation,2021-07-15,1119
W92000004,Wales,nation,2021-07-14,1206
W92000004,Wales,nation,2021-07-13,1098
W92000004,Wales,nation,2021-07-12,915
W92000004,Wales,nation,2021-07-11,714
W92000004,Wales,nation,2021-07-10,655
W92000004,Wales,nation,2021-07-09,778
W92000004,Wales,nation,2021-07-08,713
W92000004,Wales,nation,2021-07-07,777
W92000004,Wales,nation,2021-07-06,771
W92000004,Wales,nation,2021-07-05,777
W92000004,Wales,nation,2021-07-04,555
W92000004,Wales,nation,2021-07-03,496
W92000004,Wales,nation,2021-07-02,577
W92000004,Wales,nation,2021-07-01,645
W92000004,Wales,nation,2021-06-30,596
W92000004,Wales,nation,2021-06-29,637
W92000004,Wales,nation,2021-06-28,628
W92000004,Wales,nation,2021-06-27,364
W92000004,Wales,nation,2021-06-26,252
W92000004,Wales,nation,2021-06-25,376
W92000004,Wales,nation,2021-06-24,413
W92000004,Wales,nation,2021-06-23,413
W92000004,Wales,nation,2021-06-22,343
W92000004,Wales,nation,2021-06-21,342
W92000004,Wales,nation,2021-06-20,187
W92000004,Wales,nation,2021-06-19,195
W92000004,Wales,nation,2021-06-18,174
W92000004,Wales,nation,2021-06-17,222
W92000004,Wales,nation,2021-06-16,189
W92000004,Wales,nation,2021-06-15,194
W92000004,Wales,nation,2021-06-14,159
W92000004,Wales,nation,2021-06-13,112
W92000004,Wales,nation,2021-06-12,86
W92000004,Wales,nation,2021-06-11,130
W92000004,Wales,nation,2021-06-10,139
W92000004,Wales,nation,2021-06-09,129
