areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000001,North East,region,2021-10-24,650
E12000001,North East,region,2021-10-23,1312
E12000001,North East,region,2021-10-22,1711
E12000001,North East,region,2021-10-21,1822
E12000001,North East,region,2021-10-20,2203
E12000001,North East,region,2021-10-19,2111
E12000001,North East,region,2021-10-18,2428
E12000001,North East,region,2021-10-17,1722
E12000001,North East,region,2021-10-16,1448
E12000001,North East,region,2021-10-15,1626
E12000001,North East,region,2021-10-14,1755
E12000001,North East,region,2021-10-13,1910
E12000001,North East,region,2021-10-12,1917
E12000001,North East,region,2021-10-11,2169
E12000001,North East,region,2021-10-10,1587
E12000001,North East,region,2021-10-09,1240
E12000001,North East,region,2021-10-08,1475
E12000001,North East,region,2021-10-07,1502
E12000001,North East,region,2021-10-06,1526
E12000001,North East,region,2021-10-05,1573
E12000001,North East,region,2021-10-04,1767
E12000001,North East,region,2021-10-03,1221
E12000001,North East,region,2021-10-02,952
E12000001,North East,region,2021-10-01,1100
E12000001,North East,region,2021-09-30,1175
E12000001,North East,region,2021-09-29,1261
E12000001,North East,region,2021-09-28,1320
E12000001,North East,region,2021-09-27,1520
E12000001,North East,region,2021-09-26,1226
E12000001,North East,region,2021-09-25,1160
E12000001,North East,region,2021-09-24,1262
E12000001,North East,region,2021-09-23,1477
E12000001,North East,region,2021-09-22,1431
E12000001,North East,region,2021-09-21,1673
E12000001,North East,region,2021-09-20,1667
E12000001,North East,region,2021-09-19,1289
E12000001,North East,region,2021-09-18,1052
E12000001,North East,region,2021-09-17,1197
E12000001,North East,region,2021-09-16,1295
E12000001,North East,region,2021-09-15,1330
E12000001,North East,region,2021-09-14,1198
E12000001,North East,region,2021-09-13,1416
E12000001,North East,region,2021-09-12,1042
E12000001,North East,region,2021-09-11,1047
E12000001,North East,region,2021-09-10,1286
E12000001,North East,region,2021-09-09,1505
E12000001,North East,region,2021-09-08,1590
E12000001,North East,region,2021-09-07,1712
E12000001,North East,region,2021-09-06,1867
E12000001,North East,region,2021-09-05,1331
E12000001,North East,region,2021-09-04,1302
E12000001,North East,region,2021-09-03,1506
E12000001,North East,region,2021-09-02,1571
E12000001,North East,region,2021-09-01,1634
E12000001,North East,region,2021-08-31,1686
E12000001,North East,region,2021-08-30,1322
E12000001,North East,region,2021-08-29,966
E12000001,North East,region,2021-08-28,992
E12000001,North East,region,2021-08-27,1167
E12000001,North East,region,2021-08-26,1307
E12000001,North East,region,2021-08-25,1366
E12000001,North East,region,2021-08-24,1395
E12000001,North East,region,2021-08-23,1409
E12000001,North East,region,2021-08-22,1077
E12000001,North East,region,2021-08-21,1010
E12000001,North East,region,2021-08-20,1125
E12000001,North East,region,2021-08-19,1229
E12000001,North East,region,2021-08-18,1257
E12000001,North East,region,2021-08-17,1230
E12000001,North East,region,2021-08-16,1302
E12000001,North East,region,2021-08-15,887
E12000001,North East,region,2021-08-14,920
E12000001,North East,region,2021-08-13,1059
E12000001,North East,region,2021-08-12,1092
E12000001,North East,region,2021-08-11,1168
E12000001,North East,region,2021-08-10,1138
E12000001,North East,region,2021-08-09,1226
E12000001,North East,region,2021-08-08,874
E12000001,North East,region,2021-08-07,896
E12000001,North East,region,2021-08-06,1055
E12000001,North East,region,2021-08-05,1247
E12000001,North East,region,2021-08-04,1323
E12000001,North East,region,2021-08-03,1216
E12000001,North East,region,2021-08-02,1192
E12000001,North East,region,2021-08-01,872
E12000001,North East,region,2021-07-31,877
E12000001,North East,region,2021-07-30,1147
E12000001,North East,region,2021-07-29,1247
E12000001,North East,region,2021-07-28,1415
E12000001,North East,region,2021-07-27,1497
E12000001,North East,region,2021-07-26,1693
E12000001,North East,region,2021-07-25,1236
E12000001,North East,region,2021-07-24,1347
E12000001,North East,region,2021-07-23,1609
E12000001,North East,region,2021-07-22,1864
E12000001,North East,region,2021-07-21,2106
E12000001,North East,region,2021-07-20,2558
E12000001,North East,region,2021-07-19,3401
E12000001,North East,region,2021-07-18,2416
E12000001,North East,region,2021-07-17,2625
E12000001,North East,region,2021-07-16,3874
E12000001,North East,region,2021-07-15,4537
E12000001,North East,region,2021-07-14,4247
E12000001,North East,region,2021-07-13,4093
E12000001,North East,region,2021-07-12,3975
E12000001,North East,region,2021-07-11,2871
E12000001,North East,region,2021-07-10,2829
E12000001,North East,region,2021-07-09,3096
E12000001,North East,region,2021-07-08,3212
E12000001,North East,region,2021-07-07,3682
E12000001,North East,region,2021-07-06,3511
E12000001,North East,region,2021-07-05,3398
E12000001,North East,region,2021-07-04,2410
E12000001,North East,region,2021-07-03,2251
E12000001,North East,region,2021-07-02,2278
E12000001,North East,region,2021-07-01,2551
E12000001,North East,region,2021-06-30,2497
E12000001,North East,region,2021-06-29,2373
E12000001,North East,region,2021-06-28,2268
E12000001,North East,region,2021-06-27,1595
E12000001,North East,region,2021-06-26,1328
E12000001,North East,region,2021-06-25,1496
E12000001,North East,region,2021-06-24,1361
