n,area_number,actual_data,synthetic_cntrl,difference,area_name,date
64,1,.72295636,.60690439,.11605197,Barking and Dagenham,30may2020
55,1,.54845929,.7231282,-.17466892,Barking and Dagenham,21may2020
35,1,.66874993,.60834706,.060402848,Barking and Dagenham,01may2020
72,1,.96674961,.56657708,.40017256,Barking and Dagenham,07jun2020
8,1,.81006259,.74098384,.069078736,Barking and Dagenham,04apr2020
28,1,.8060264,.68843645,.11758995,Barking and Dagenham,24apr2020
89,1,.049210947,.014273402,.034937546,Barking and Dagenham,24jun2020
27,1,.75443995,.70195931,.052480638,Barking and Dagenham,23apr2020
6,1,.87983525,.80354905,.076286182,Barking and Dagenham,02apr2020
54,1,.49945748,.72975707,-.23029958,Barking and Dagenham,20may2020
61,1,.73292291,.65472871,.078194223,Barking and Dagenham,27may2020
53,1,.46294352,.73105282,-.26810926,Barking and Dagenham,19may2020
68,1,.9152056,.58737648,.32782912,Barking and Dagenham,03jun2020
90,1,.018633898,.0043416061,.014292292,Barking and Dagenham,25jun2020
13,1,.68249005,.66432202,.018168051,Barking and Dagenham,09apr2020
11,1,.73157638,.69299173,.038584661,Barking and Dagenham,07apr2020
41,1,.58751988,.65573883,-.068218954,Barking and Dagenham,07may2020
26,1,.69095832,.70971364,-.018755298,Barking and Dagenham,22apr2020
52,1,.44397637,.72429162,-.28031528,Barking and Dagenham,18may2020
88,1,.09962821,.031828847,.067799367,Barking and Dagenham,23jun2020
4,1,.99432647,.92725414,.067072339,Barking and Dagenham,31mar2020
32,1,.80938029,.61758667,.19179364,Barking and Dagenham,28apr2020
65,1,.75166404,.59218097,.15948308,Barking and Dagenham,31may2020
62,1,.72067308,.64018375,.080489345,Barking and Dagenham,28may2020
7,1,.84176898,.76678801,.074980997,Barking and Dagenham,03apr2020
24,1,.56843913,.70737326,-.13893414,Barking and Dagenham,20apr2020
83,1,.58826309,.25107205,.33719105,Barking and Dagenham,18jun2020
17,1,.56263274,.63265222,-.070019498,Barking and Dagenham,13apr2020
57,1,.65115732,.69732523,-.046167929,Barking and Dagenham,23may2020
12,1,.70800388,.67852175,.02948213,Barking and Dagenham,08apr2020
49,1,.46167397,.66424131,-.20256735,Barking and Dagenham,15may2020
70,1,.98087633,.59494954,.38592681,Barking and Dagenham,05jun2020
69,1,.95875728,.59326911,.36548817,Barking and Dagenham,04jun2020
84,1,.47519109,.20000309,.275188,Barking and Dagenham,19jun2020
59,1,.72342879,.67436677,.049062002,Barking and Dagenham,25may2020
25,1,.62539494,.71133584,-.08594092,Barking and Dagenham,21apr2020
16,1,.59190392,.63270277,-.040798828,Barking and Dagenham,12apr2020
36,1,.63059604,.61467391,.015922109,Barking and Dagenham,02may2020
30,1,.85099852,.65070575,.20029277,Barking and Dagenham,26apr2020
40,1,.58011317,.64843577,-.068322591,Barking and Dagenham,06may2020
56,1,.60112685,.71151781,-.11039093,Barking and Dagenham,22may2020
42,1,.59313506,.65831035,-.065175325,Barking and Dagenham,08may2020
79,1,.85581595,.37885901,.47695693,Barking and Dagenham,14jun2020
58,1,.69352967,.68455482,.0089748623,Barking and Dagenham,24may2020
5,1,.92891067,.85557413,.073336519,Barking and Dagenham,01apr2020
43,1,.59112787,.65446466,-.063336775,Barking and Dagenham,09may2020
74,1,.91027391,.49568626,.41458765,Barking and Dagenham,09jun2020
18,1,.5359984,.6394245,-.10342608,Barking and Dagenham,14apr2020
33,1,.76488537,.60882562,.15605974,Barking and Dagenham,29apr2020
73,1,.93969542,.53414094,.40555447,Barking and Dagenham,08jun2020
66,1,.79928881,.58355182,.21573699,Barking and Dagenham,01jun2020
14,1,.65385646,.65067261,.0031838459,Barking and Dagenham,10apr2020
86,1,.25778821,.098658204,.15913001,Barking and Dagenham,21jun2020
2,1,1.1827486,1.1384832,.044265352,Barking and Dagenham,29mar2020
60,1,.73673373,.66552842,.071205333,Barking and Dagenham,26may2020
31,1,.84005845,.63208103,.20797741,Barking and Dagenham,27apr2020
77,1,.87452686,.40981469,.46471217,Barking and Dagenham,12jun2020
19,1,.51389891,.65063381,-.13673489,Barking and Dagenham,15apr2020
47,1,.51044232,.63751942,-.12707707,Barking and Dagenham,13may2020
20,1,.49918047,.66323686,-.16405636,Barking and Dagenham,16apr2020
67,1,.85783339,.582645,.27518839,Barking and Dagenham,02jun2020
85,1,.36175478,.14722407,.21453071,Barking and Dagenham,20jun2020
38,1,.58463192,.63152319,-.046891265,Barking and Dagenham,04may2020
39,1,.57794785,.64002323,-.062075358,Barking and Dagenham,05may2020
23,1,.52677685,.69920641,-.17242953,Barking and Dagenham,19apr2020
51,1,.44005093,.70817852,-.26812762,Barking and Dagenham,17may2020
29,1,.83937472,.67055547,.16881923,Barking and Dagenham,25apr2020
37,1,.60202813,.62283748,-.020809336,Barking and Dagenham,03may2020
22,1,.50251132,.68833959,-.18582828,Barking and Dagenham,18apr2020
21,1,.49440208,.67603534,-.18163329,Barking and Dagenham,17apr2020
44,1,.58043271,.64639336,-.065960653,Barking and Dagenham,10may2020
48,1,.48365507,.64703906,-.16338396,Barking and Dagenham,14may2020
80,1,.8230322,.35927919,.46375301,Barking and Dagenham,15jun2020
75,1,.88743556,.45896339,.42847216,Barking and Dagenham,10jun2020
87,1,.16957745,.059352703,.11022475,Barking and Dagenham,22jun2020
78,1,.87062365,.39431006,.47631359,Barking and Dagenham,13jun2020
50,1,.44673276,.68637717,-.23964442,Barking and Dagenham,16may2020
71,1,.98233861,.58716136,.39517725,Barking and Dagenham,06jun2020
45,1,.56193054,.63852626,-.076595709,Barking and Dagenham,11may2020
46,1,.53775573,.63500786,-.097252108,Barking and Dagenham,12may2020
10,1,.75566447,.70735317,.048311267,Barking and Dagenham,06apr2020
3,1,1.0789369,1.0215449,.05739196,Barking and Dagenham,30mar2020
15,1,.62291068,.63930732,-.016396651,Barking and Dagenham,11apr2020
9,1,.78174043,.7223441,.059396349,Barking and Dagenham,05apr2020
34,1,.71506524,.60590136,.1091639,Barking and Dagenham,30apr2020
81,1,.7676239,.33200499,.43561891,Barking and Dagenham,16jun2020
82,1,.68859464,.29572681,.39286783,Barking and Dagenham,17jun2020
1,1,1.3052992,1.2765287,.028770396,Barking and Dagenham,28mar2020
63,1,.71410739,.6236943,.090413101,Barking and Dagenham,29may2020
76,1,.87664515,.43008354,.4465616,Barking and Dagenham,11jun2020
34,2,.60653257,.58000892,.026523668,Barnet,30apr2020
73,2,.60713959,.81285894,-.20571932,Barnet,08jun2020
29,2,.64576858,.60521024,.04055832,Barnet,25apr2020
38,2,.6835885,.70476907,-.021180561,Barnet,04may2020
67,2,.6458866,.74911916,-.10323255,Barnet,02jun2020
60,2,.56541342,.800587,-.23517357,Barnet,26may2020
56,2,.65204901,.82823747,-.17618848,Barnet,22may2020
50,2,.72336149,.77564871,-.052287214,Barnet,16may2020
80,2,.48869607,.71363097,-.22493489,Barnet,15jun2020
4,2,.8668946,1.0710131,-.20411849,Barnet,31mar2020
83,2,.31305301,.53215611,-.21910313,Barnet,18jun2020
8,2,.6394195,.88350433,-.24408484,Barnet,04apr2020
65,2,.65474021,.73856711,-.083826885,Barnet,31may2020
21,2,.72005951,.85549903,-.13543954,Barnet,17apr2020
39,2,.71072698,.73549646,-.024769472,Barnet,05may2020
59,2,.56465024,.815624,-.25097376,Barnet,25may2020
90,2,.0062907459,.030194698,-.023903951,Barnet,25jun2020
76,2,.59893882,.79386061,-.19492179,Barnet,11jun2020
11,2,.61280996,.86383229,-.25102231,Barnet,07apr2020
19,2,.71045464,.86157852,-.1511239,Barnet,15apr2020
3,2,.97377133,1.1646471,-.19087577,Barnet,30mar2020
63,2,.63613492,.75424248,-.11810756,Barnet,29may2020
48,2,.70066559,.77502084,-.07435523,Barnet,14may2020
10,2,.61123186,.86506158,-.25382969,Barnet,06apr2020
5,2,.78201723,.99782097,-.21580377,Barnet,01apr2020
68,2,.6385535,.7655431,-.12698959,Barnet,03jun2020
75,2,.60273367,.80149692,-.19876325,Barnet,10jun2020
70,2,.62052286,.80053449,-.18001164,Barnet,05jun2020
79,2,.53390712,.74529135,-.21138424,Barnet,14jun2020
64,2,.6509344,.74393779,-.093003407,Barnet,30may2020
1,2,1.2502495,1.4109427,-.16069314,Barnet,28mar2020
58,2,.58142054,.82644886,-.2450283,Barnet,24may2020
84,2,.24752501,.44424382,-.19671883,Barnet,19jun2020
15,2,.66815203,.86161172,-.19345967,Barnet,11apr2020
41,2,.74982989,.77521199,-.025382131,Barnet,07may2020
14,2,.65280962,.8633219,-.21051227,Barnet,10apr2020
7,2,.67157537,.90680504,-.23522967,Barnet,03apr2020
46,2,.70432758,.7811743,-.076846704,Barnet,12may2020
74,2,.60474718,.80799204,-.20324486,Barnet,09jun2020
37,2,.65667647,.67051977,-.013843318,Barnet,03may2020
40,2,.73367852,.75940275,-.025724249,Barnet,06may2020
69,2,.62933481,.78453517,-.15520035,Barnet,04jun2020
33,2,.60165024,.56349492,.038155288,Barnet,29apr2020
43,2,.7501322,.78713,-.036997784,Barnet,09may2020
53,2,.75290567,.80152851,-.048622862,Barnet,19may2020
81,2,.43455681,.66919476,-.23463796,Barnet,16jun2020
30,2,.62691092,.58143032,.045480613,Barnet,26apr2020
32,2,.60298854,.55846351,.044525038,Barnet,28apr2020
78,2,.56731421,.76777846,-.20046422,Barnet,13jun2020
18,2,.70303088,.86045891,-.15742804,Barnet,14apr2020
26,2,.6996997,.71285456,-.013154845,Barnet,22apr2020
88,2,.049086422,.11411795,-.065031528,Barnet,23jun2020
31,2,.61164814,.56511635,.046531826,Barnet,27apr2020
49,2,.70850122,.77381033,-.06530913,Barnet,15may2020
51,2,.74120128,.78159595,-.040394641,Barnet,17may2020
25,2,.71217716,.75440949,-.042232316,Barnet,21apr2020
9,2,.61973339,.87063175,-.25089836,Barnet,05apr2020
28,2,.66510129,.63532764,.029773645,Barnet,24apr2020
77,2,.58851767,.78337127,-.19485362,Barnet,12jun2020
16,2,.68206561,.86026669,-.17820109,Barnet,12apr2020
86,2,.12727024,.26195979,-.13468957,Barnet,21jun2020
61,2,.58383763,.78410494,-.20026734,Barnet,27may2020
23,2,.72247005,.82165635,-.099186301,Barnet,19apr2020
55,2,.69435221,.82093823,-.12658601,Barnet,21may2020
36,2,.6338886,.63639009,-.0025015152,Barnet,02may2020
47,2,.69892436,.77786523,-.078940891,Barnet,13may2020
13,2,.63693547,.86441195,-.22747646,Barnet,09apr2020
82,2,.37562248,.60861206,-.23298959,Barnet,17jun2020
24,2,.71947509,.79170471,-.072229601,Barnet,20apr2020
17,2,.69378692,.85978335,-.16599642,Barnet,13apr2020
12,2,.62249488,.86428678,-.24179193,Barnet,08apr2020
72,2,.60990715,.81426054,-.20435341,Barnet,07jun2020
42,2,.7560699,.78392261,-.027852738,Barnet,08may2020
35,2,.6171338,.60531914,.011814626,Barnet,01may2020
20,2,.71620727,.86089236,-.14468506,Barnet,16apr2020
22,2,.72233611,.84289092,-.12055479,Barnet,18apr2020
87,2,.082696848,.18106918,-.098372333,Barnet,22jun2020
44,2,.73524064,.78653383,-.051293172,Barnet,10may2020
52,2,.75411522,.79099792,-.036882728,Barnet,18may2020
66,2,.65144843,.73986328,-.088414825,Barnet,01jun2020
2,2,1.1018443,1.2782553,-.17641102,Barnet,29mar2020
85,2,.18365106,.35173827,-.16808723,Barnet,20jun2020
6,2,.71804744,.94389421,-.22584675,Barnet,02apr2020
57,2,.61222279,.83067513,-.21845236,Barnet,23may2020
89,2,.023207355,.063822389,-.040615033,Barnet,24jun2020
71,2,.6139096,.81055707,-.19664748,Barnet,06jun2020
45,2,.71782529,.78416264,-.066337362,Barnet,11may2020
54,2,.73146886,.81154001,-.080071166,Barnet,20may2020
27,2,.68331957,.67172283,.01159673,Barnet,23apr2020
62,2,.61150658,.76808763,-.15658107,Barnet,28may2020
60,3,.8280822,.51607168,.31201053,Barnsley,26may2020
68,3,.88602257,.67584175,.2101808,Barnsley,03jun2020
27,3,.84880376,.82371491,.025088876,Barnsley,23apr2020
54,3,.77949268,.56838965,.21110301,Barnsley,20may2020
2,3,1.4655585,1.343415,.12214348,Barnsley,29mar2020
39,3,.96885794,.86231905,.10653887,Barnsley,05may2020
12,3,.88123393,.87381005,.0074238754,Barnsley,08apr2020
65,3,.89311558,.64328629,.24982928,Barnsley,31may2020
45,3,.70899236,.7474876,-.038495239,Barnsley,11may2020
1,3,1.5531459,1.4770681,.076077826,Barnsley,28mar2020
70,3,.90094304,.64053041,.2604126,Barnsley,05jun2020
85,3,.22787142,.15242432,.075447097,Barnsley,20jun2020
31,3,.84346479,.82443273,.019032056,Barnsley,27apr2020
36,3,.94904894,.87269199,.076356955,Barnsley,02may2020
51,3,.82254368,.60299528,.21954842,Barnsley,17may2020
22,3,.90735042,.80781114,.099539302,Barnsley,18apr2020
32,3,.8556574,.83243638,.023221025,Barnsley,28apr2020
34,3,.89547497,.85608816,.039386798,Barnsley,30apr2020
29,3,.83720112,.82068866,.016512468,Barnsley,25apr2020
89,3,.053999525,.024420833,.029578691,Barnsley,24jun2020
80,3,.50493401,.42761704,.077316955,Barnsley,15jun2020
41,3,.88771063,.83660614,.051104486,Barnsley,07may2020
72,3,.94629842,.57944751,.36685088,Barnsley,07jun2020
52,3,.81546479,.59022564,.22523913,Barnsley,18may2020
18,3,.92260945,.82656652,.096042946,Barnsley,14apr2020
9,3,1.0139401,.89947361,.11446647,Barnsley,05apr2020
58,3,.7793138,.51535249,.26396132,Barnsley,24may2020
17,3,.90868682,.83886665,.069820173,Barnsley,13apr2020
16,3,.89130688,.850398,.040908869,Barnsley,12apr2020
5,3,1.2651035,1.0553594,.20974413,Barnsley,01apr2020
3,3,1.3907803,1.2278719,.16290839,Barnsley,30mar2020
59,3,.80222547,.51170313,.29052237,Barnsley,25may2020
14,3,.86591673,.86571145,.00020528013,Barnsley,10apr2020
77,3,.7836675,.50369489,.27997261,Barnsley,12jun2020
23,3,.89418,.81315678,.081023201,Barnsley,19apr2020
19,3,.92877007,.81569213,.11307795,Barnsley,15apr2020
37,3,.97035438,.8738454,.096508987,Barnsley,03may2020
84,3,.26862475,.20377491,.064849839,Barnsley,19jun2020
11,3,.91136956,.87853789,.032831643,Barnsley,07apr2020
55,3,.76504552,.55450207,.21054348,Barnsley,21may2020
35,3,.92206317,.86641693,.055646233,Barnsley,01may2020
28,3,.84160256,.82229424,.01930833,Barnsley,24apr2020
53,3,.79819328,.57970655,.21848676,Barnsley,19may2020
64,3,.89127278,.61326283,.27800995,Barnsley,30may2020
81,3,.42407948,.37941936,.044660114,Barnsley,16jun2020
44,3,.73450816,.7723788,-.037870675,Barnsley,10may2020
71,3,.92227799,.61102742,.31125057,Barnsley,06jun2020
30,3,.83739471,.82074428,.016650414,Barnsley,26apr2020
46,3,.70271599,.72119331,-.018477326,Barnsley,12may2020
73,3,.96292359,.55166614,.41125742,Barnsley,08jun2020
38,3,.97897226,.87007016,.10890209,Barnsley,04may2020
86,3,.18230832,.10914742,.073160894,Barnsley,21jun2020
50,3,.81216967,.61982065,.192349,Barnsley,16may2020
67,3,.88870418,.67744827,.21125592,Barnsley,02jun2020
42,3,.82988411,.81824899,.011635125,Barnsley,08may2020
