age,date,cases,age_num,age_format,cases_tot,cases_norm
0_to_4,2020-10-01,6,0,0-4,462,0.012987012987012988
5_to_9,2020-10-01,6,5,5-9,462,0.012987012987012988
10_to_14,2020-10-01,15,10,10-14,462,0.032467532467532464
15_to_19,2020-10-01,66,15,15-19,462,0.14285714285714285
20_to_24,2020-10-01,56,20,20-24,462,0.12121212121212122
25_to_29,2020-10-01,37,25,25-29,462,0.08008658008658008
30_to_34,2020-10-01,39,30,30-34,462,0.08441558441558442
35_to_39,2020-10-01,36,35,35-39,462,0.07792207792207792
40_to_44,2020-10-01,24,40,40-44,462,0.05194805194805195
45_to_49,2020-10-01,29,45,45-49,462,0.06277056277056277
50_to_54,2020-10-01,36,50,50-54,462,0.07792207792207792
55_to_59,2020-10-01,36,55,55-59,462,0.07792207792207792
60_to_64,2020-10-01,28,60,60-64,462,0.06060606060606061
65_to_69,2020-10-01,12,65,65-69,462,0.025974025974025976
70_to_74,2020-10-01,12,70,70-74,462,0.025974025974025976
75_to_79,2020-10-01,9,75,75-79,462,0.01948051948051948
80_to_84,2020-10-01,7,80,80-84,462,0.015151515151515152
85_to_89,2020-10-01,5,85,85-89,462,0.010822510822510822
90+,2020-10-01,3,90,90+,462,0.006493506493506494
0_to_4,2020-10-02,6,0,0-4,570,0.010526315789473684
5_to_9,2020-10-02,6,5,5-9,570,0.010526315789473684
10_to_14,2020-10-02,21,10,10-14,570,0.03684210526315789
15_to_19,2020-10-02,75,15,15-19,570,0.13157894736842105
20_to_24,2020-10-02,79,20,20-24,570,0.13859649122807016
25_to_29,2020-10-02,59,25,25-29,570,0.10350877192982456
30_to_34,2020-10-02,48,30,30-34,570,0.08421052631578947
35_to_39,2020-10-02,41,35,35-39,570,0.07192982456140351
40_to_44,2020-10-02,42,40,40-44,570,0.07368421052631578
45_to_49,2020-10-02,46,45,45-49,570,0.08070175438596491
50_to_54,2020-10-02,46,50,50-54,570,0.08070175438596491
55_to_59,2020-10-02,36,55,55-59,570,0.06315789473684211
60_to_64,2020-10-02,26,60,60-64,570,0.0456140350877193
65_to_69,2020-10-02,13,65,65-69,570,0.02280701754385965
70_to_74,2020-10-02,6,70,70-74,570,0.010526315789473684
75_to_79,2020-10-02,10,75,75-79,570,0.017543859649122806
80_to_84,2020-10-02,3,80,80-84,570,0.005263157894736842
85_to_89,2020-10-02,2,85,85-89,570,0.0035087719298245615
90+,2020-10-02,5,90,90+,570,0.008771929824561403
0_to_4,2020-10-03,8,0,0-4,425,0.018823529411764704
5_to_9,2020-10-03,4,5,5-9,425,0.009411764705882352
10_to_14,2020-10-03,10,10,10-14,425,0.023529411764705882
15_to_19,2020-10-03,59,15,15-19,425,0.1388235294117647
20_to_24,2020-10-03,53,20,20-24,425,0.12470588235294118
25_to_29,2020-10-03,33,25,25-29,425,0.07764705882352942
30_to_34,2020-10-03,50,30,30-34,425,0.11764705882352941
35_to_39,2020-10-03,37,35,35-39,425,0.08705882352941176
40_to_44,2020-10-03,25,40,40-44,425,0.058823529411764705
45_to_49,2020-10-03,22,45,45-49,425,0.05176470588235294
50_to_54,2020-10-03,25,50,50-54,425,0.058823529411764705
55_to_59,2020-10-03,39,55,55-59,425,0.09176470588235294
60_to_64,2020-10-03,17,60,60-64,425,0.04
65_to_69,2020-10-03,15,65,65-69,425,0.03529411764705882
70_to_74,2020-10-03,9,70,70-74,425,0.021176470588235293
75_to_79,2020-10-03,6,75,75-79,425,0.01411764705882353
80_to_84,2020-10-03,8,80,80-84,425,0.018823529411764704
85_to_89,2020-10-03,3,85,85-89,425,0.007058823529411765
90+,2020-10-03,2,90,90+,425,0.004705882352941176
0_to_4,2020-10-04,13,0,0-4,593,0.021922428330522766
5_to_9,2020-10-04,6,5,5-9,593,0.01011804384485666
10_to_14,2020-10-04,24,10,10-14,593,0.04047217537942664
15_to_19,2020-10-04,77,15,15-19,593,0.12984822934232715
20_to_24,2020-10-04,110,20,20-24,593,0.18549747048903878
25_to_29,2020-10-04,50,25,25-29,593,0.08431703204047218
30_to_34,2020-10-04,37,30,30-34,593,0.06239460370994941
35_to_39,2020-10-04,34,35,35-39,593,0.05733558178752108
40_to_44,2020-10-04,38,40,40-44,593,0.06408094435075885
45_to_49,2020-10-04,33,45,45-49,593,0.05564924114671164
50_to_54,2020-10-04,48,50,50-54,593,0.08094435075885328
55_to_59,2020-10-04,41,55,55-59,593,0.06913996627318718
60_to_64,2020-10-04,24,60,60-64,593,0.04047217537942664
65_to_69,2020-10-04,18,65,65-69,593,0.03035413153456998
70_to_74,2020-10-04,11,70,70-74,593,0.01854974704890388
75_to_79,2020-10-04,14,75,75-79,593,0.023608768971332208
80_to_84,2020-10-04,6,80,80-84,593,0.01011804384485666
85_to_89,2020-10-04,6,85,85-89,593,0.01011804384485666
90+,2020-10-04,3,90,90+,593,0.00505902192242833
0_to_4,2020-10-05,3,0,0-4,419,0.007159904534606206
5_to_9,2020-10-05,5,5,5-9,419,0.011933174224343675
10_to_14,2020-10-05,11,10,10-14,419,0.026252983293556086
15_to_19,2020-10-05,49,15,15-19,419,0.11694510739856802
20_to_24,2020-10-05,59,20,20-24,419,0.14081145584725538
25_to_29,2020-10-05,41,25,25-29,419,0.09785202863961814
30_to_34,2020-10-05,28,30,30-34,419,0.06682577565632458
35_to_39,2020-10-05,25,35,35-39,419,0.059665871121718374
40_to_44,2020-10-05,29,40,40-44,419,0.06921241050119331
45_to_49,2020-10-05,31,45,45-49,419,0.07398568019093078
50_to_54,2020-10-05,35,50,50-54,419,0.08353221957040573
55_to_59,2020-10-05,38,55,55-59,419,0.09069212410501193
60_to_64,2020-10-05,28,60,60-64,419,0.06682577565632458
65_to_69,2020-10-05,16,65,65-69,419,0.03818615751789976
70_to_74,2020-10-05,5,70,70-74,419,0.011933174224343675
75_to_79,2020-10-05,5,75,75-79,419,0.011933174224343675
80_to_84,2020-10-05,3,80,80-84,419,0.007159904534606206
85_to_89,2020-10-05,8,85,85-89,419,0.01909307875894988
90+,2020-10-05,0,90,90+,419,0
0_to_4,2020-10-06,18,0,0-4,740,0.024324324324324326
5_to_9,2020-10-06,14,5,5-9,740,0.01891891891891892
10_to_14,2020-10-06,16,10,10-14,740,0.021621621621621623
15_to_19,2020-10-06,89,15,15-19,740,0.12027027027027028
20_to_24,2020-10-06,101,20,20-24,740,0.13648648648648648
25_to_29,2020-10-06,58,25,25-29,740,0.07837837837837838
30_to_34,2020-10-06,49,30,30-34,740,0.06621621621621622
35_to_39,2020-10-06,56,35,35-39,740,0.07567567567567568
40_to_44,2020-10-06,47,40,40-44,740,0.06351351351351352
45_to_49,2020-10-06,52,45,45-49,740,0.07027027027027027
50_to_54,2020-10-06,56,50,50-54,740,0.07567567567567568
55_to_59,2020-10-06,60,55,55-59,740,0.08108108108108109
60_to_64,2020-10-06,38,60,60-64,740,0.051351351351351354
65_to_69,2020-10-06,19,65,65-69,740,0.025675675675675677
70_to_74,2020-10-06,22,70,70-74,740,0.02972972972972973
75_to_79,2020-10-06,17,75,75-79,740,0.022972972972972974
80_to_84,2020-10-06,15,80,80-84,740,0.02027027027027027
85_to_89,2020-10-06,7,85,85-89,740,0.00945945945945946
90+,2020-10-06,6,90,90+,740,0.008108108108108109
0_to_4,2020-10-07,13,0,0-4,635,0.02047244094488189
5_to_9,2020-10-07,7,5,5-9,635,0.011023622047244094
10_to_14,2020-10-07,15,10,10-14,635,0.023622047244094488
15_to_19,2020-10-07,70,15,15-19,635,0.11023622047244094
20_to_24,2020-10-07,100,20,20-24,635,0.15748031496062992
25_to_29,2020-10-07,45,25,25-29,635,0.07086614173228346
30_to_34,2020-10-07,55,30,30-34,635,0.08661417322834646
35_to_39,2020-10-07,44,35,35-39,635,0.06929133858267716
40_to_44,2020-10-07,53,40,40-44,635,0.08346456692913386
45_to_49,2020-10-07,41,45,45-49,635,0.06456692913385827
50_to_54,2020-10-07,50,50,50-54,635,0.07874015748031496
55_to_59,2020-10-07,47,55,55-59,635,0.07401574803149606
60_to_64,2020-10-07,43,60,60-64,635,0.06771653543307087
65_to_69,2020-10-07,17,65,65-69,635,0.026771653543307086
70_to_74,2020-10-07,11,70,70-74,635,0.01732283464566929
75_to_79,2020-10-07,13,75,75-79,635,0.02047244094488189
80_to_84,2020-10-07,2,80,80-84,635,0.0031496062992125984
85_to_89,2020-10-07,5,85,85-89,635,0.007874015748031496
90+,2020-10-07,4,90,90+,635,0.006299212598425197
0_to_4,2020-10-08,8,0,0-4,761,0.010512483574244415
5_to_9,2020-10-08,6,5,5-9,761,0.00788436268068331
10_to_14,2020-10-08,16,10,10-14,761,0.02102496714848883
15_to_19,2020-10-08,124,15,15-19,761,0.16294349540078842
20_to_24,2020-10-08,131,20,20-24,761,0.1721419185282523
25_to_29,2020-10-08,56,25,25-29,761,0.0735873850197109
30_to_34,2020-10-08,47,30,30-34,761,0.06176084099868594
35_to_39,2020-10-08,60,35,35-39,761,0.07884362680683311
40_to_44,2020-10-08,55,40,40-44,761,0.07227332457293036
45_to_49,2020-10-08,45,45,45-49,761,0.05913272010512484
50_to_54,2020-10-08,57,50,50-54,761,0.07490144546649145
55_to_59,2020-10-08,46,55,55-59,761,0.06044678055190539
60_to_64,2020-10-08,34,60,60-64,761,0.04467805519053877
65_to_69,2020-10-08,24,65,65-69,761,0.03153745072273324
70_to_74,2020-10-08,20,70,70-74,761,0.026281208935611037
75_to_79,2020-10-08,14,75,75-79,761,0.018396846254927726
80_to_84,2020-10-08,9,80,80-84,761,0.011826544021024968
85_to_89,2020-10-08,7,85,85-89,761,0.009198423127463863
90+,2020-10-08,2,90,90+,761,0.002628120893561104
0_to_4,2020-10-09,14,0,0-4,625,0.0224
5_to_9,2020-10-09,12,5,5-9,625,0.0192
10_to_14,2020-10-09,19,10,10-14,625,0.0304
15_to_19,2020-10-09,89,15,15-19,625,0.1424
20_to_24,2020-10-09,89,20,20-24,625,0.1424
25_to_29,2020-10-09,54,25,25-29,625,0.0864
30_to_34,2020-10-09,33,30,30-34,625,0.0528
35_to_39,2020-10-09,43,35,35-39,625,0.0688
40_to_44,2020-10-09,45,40,40-44,625,0.072
45_to_49,2020-10-09,44,45,45-49,625,0.0704
50_to_54,2020-10-09,53,50,50-54,625,0.0848
55_to_59,2020-10-09,52,55,55-59,625,0.0832
60_to_64,2020-10-09,30,60,60-64,625,0.048
65_to_69,2020-10-09,9,65,65-69,625,0.0144
70_to_74,2020-10-09,10,70,70-74,625,0.016
75_to_79,2020-10-09,12,75,75-79,625,0.0192
80_to_84,2020-10-09,8,80,80-84,625,0.0128
85_to_89,2020-10-09,4,85,85-89,625,0.0064
90+,2020-10-09,5,90,90+,625,0.008
0_to_4,2020-10-10,7,0,0-4,466,0.015021459227467811
5_to_9,2020-10-10,9,5,5-9,466,0.019313304721030045
10_to_14,2020-10-10,9,10,10-14,466,0.019313304721030045
15_to_19,2020-10-10,79,15,15-19,466,0.16952789699570817
20_to_24,2020-10-10,67,20,20-24,466,0.14377682403433475
25_to_29,2020-10-10,35,25,25-29,466,0.07510729613733906
30_to_34,2020-10-10,31,30,30-34,466,0.06652360515021459
35_to_39,2020-10-10,33,35,35-39,466,0.07081545064377683
40_to_44,2020-10-10,33,40,40-44,466,0.07081545064377683
45_to_49,2020-10-10,33,45,45-49,466,0.07081545064377683
50_to_54,2020-10-10,31,50,50-54,466,0.06652360515021459
55_to_59,2020-10-10,24,55,55-59,466,0.05150214592274678
60_to_64,2020-10-10,19,60,60-64,466,0.0407725321888412
65_to_69,2020-10-10,15,65,65-69,466,0.032188841201716736
70_to_74,2020-10-10,18,70,70-74,466,0.03862660944206009
75_to_79,2020-10-10,11,75,75-79,466,0.023605150214592276
80_to_84,2020-10-10,4,80,80-84,466,0.008583690987124463
85_to_89,2020-10-10,6,85,85-89,466,0.012875536480686695
90+,2020-10-10,2,90,90+,466,0.004291845493562232
0_to_4,2020-10-11,3,0,0-4,487,0.006160164271047228
5_to_9,2020-10-11,4,5,5-9,487,0.008213552361396304
10_to_14,2020-10-11,7,10,10-14,487,0.014373716632443531
15_to_19,2020-10-11,92,15,15-19,487,0.188911704312115
20_to_24,2020-10-11,62,20,20-24,487,0.1273100616016427
25_to_29,2020-10-11,34,25,25-29,487,0.06981519507186858
30_to_34,2020-10-11,31,30,30-34,487,0.063655030800821355
35_to_39,2020-10-11,30,35,35-39,487,0.061601642710472276
40_to_44,2020-10-11,38,40,40-44,487,0.07802874743326489
45_to_49,2020-10-11,27,45,45-49,487,0.055441478439425054
50_to_54,2020-10-11,41,50,50-54,487,0.08418891170431211
55_to_59,2020-10-11,43,55,55-59,487,0.08829568788501027
60_to_64,2020-10-11,19,60,60-64,487,0.039014373716632446
65_to_69,2020-10-11,11,65,65-69,487,0.022587268993839837
70_to_74,2020-10-11,11,70,70-74,487,0.022587268993839837
75_to_79,2020-10-11,12,75,75-79,487,0.024640657084188913
80_to_84,2020-10-11,12,80,80-84,487,0.024640657084188913
85_to_89,2020-10-11,6,85,85-89,487,0.012320328542094456
90+,2020-10-11,4,90,90+,487,0.008213552361396304
0_to_4,2020-10-12,11,0,0-4,762,0.014435695538057743
5_to_9,2020-10-12,10,5,5-9,762,0.013123359580052493
10_to_14,2020-10-12,17,10,10-14,762,0.02230971128608924
15_to_19,2020-10-12,136,15,15-19,762,0.1784776902887139
20_to_24,2020-10-12,115,20,20-24,762,0.15091863517060367
25_to_29,2020-10-12,61,25,25-29,762,0.08005249343832022
30_to_34,2020-10-12,66,30,30-34,762,0.08661417322834646
35_to_39,2020-10-12,50,35,35-39,762,0.06561679790026247
40_to_44,2020-10-12,39,40,40-44,762,0.051181102362204724
45_to_49,2020-10-12,45,45,45-49,762,0.05905511811023622
50_to_54,2020-10-12,52,50,50-54,762,0.06824146981627296
55_to_59,2020-10-12,49,55,55-59,762,0.06430446194225722
60_to_64,2020-10-12,36,60,60-64,762,0.047244094488188976
65_to_69,2020-10-12,16,65,65-69,762,0.02099737532808399
70_to_74,2020-10-12,10,70,70-74,762,0.013123359580052493
75_to_79,2020-10-12,17,75,75-79,762,0.02230971128608924
80_to_84,2020-10-12,11,80,80-84,762,0.014435695538057743
85_to_89,2020-10-12,12,85,85-89,762,0.015748031496062992
90+,2020-10-12,9,90,90+,762,0.011811023622047244
0_to_4,2020-10-13,17,0,0-4,941,0.018065887353878853
5_to_9,2020-10-13,12,5,5-9,941,0.012752391073326248
10_to_14,2020-10-13,15,10,10-14,941,0.015940488841657812
15_to_19,2020-10-13,230,15,15-19,941,0.24442082890541977
20_to_24,2020-10-13,132,20,20-24,941,0.14027630180658873
25_to_29,2020-10-13,73,25,25-29,941,0.077577045696068
30_to_34,2020-10-13,66,30,30-34,941,0.07013815090329437
35_to_39,2020-10-13,56,35,35-39,941,0.05951115834218916
40_to_44,2020-10-13,57,40,40-44,941,0.06057385759829968
45_to_49,2020-10-13,61,45,45-49,941,0.06482465462274177
50_to_54,2020-10-13,58,50,50-54,941,0.061636556854410204
55_to_59,2020-10-13,49,55,55-59,941,0.052072263549415514
60_to_64,2020-10-13,42,60,60-64,941,0.044633368756641874
65_to_69,2020-10-13,23,65,65-69,941,0.024442082890541977
70_to_74,2020-10-13,17,70,70-74,941,0.018065887353878853
75_to_79,2020-10-13,14,75,75-79,941,0.01487778958554729
80_to_84,2020-10-13,10,80,80-84,941,0.010626992561105207
85_to_89,2020-10-13,6,85,85-89,941,0.006376195536663124
90+,2020-10-13,3,90,90+,941,0.003188097768331562
0_to_4,2020-10-14,8,0,0-4,707,0.011315417256011316
5_to_9,2020-10-14,14,5,5-9,707,0.019801980198019802
10_to_14,2020-10-14,19,10,10-14,707,0.026874115983026876
15_to_19,2020-10-14,155,15,15-19,707,0.21923620933521923
20_to_24,2020-10-14,75,20,20-24,707,0.10608203677510608
25_to_29,2020-10-14,58,25,25-29,707,0.08203677510608204
30_to_34,2020-10-14,47,30,30-34,707,0.06647807637906648
35_to_39,2020-10-14,54,35,35-39,707,0.07637906647807638
40_to_44,2020-10-14,41,40,40-44,707,0.05799151343705799
45_to_49,2020-10-14,38,45,45-49,707,0.05374823196605375
50_to_54,2020-10-14,47,50,50-54,707,0.06647807637906648
55_to_59,2020-10-14,41,55,55-59,707,0.05799151343705799
60_to_64,2020-10-14,22,60,60-64,707,0.031117397454031116
65_to_69,2020-10-14,18,65,65-69,707,0.02545968882602546
70_to_74,2020-10-14,17,70,70-74,707,0.024045261669024046
75_to_79,2020-10-14,21,75,75-79,707,0.0297029702970297
